,global_id,Наименование_поддержанной_компании,Отрасль,Подотрасль,Технология_(1_уровень),Технология_(2_уровень),Технология_(3_уровень),Сайт,Описание_компании
3618,1062320,"ООО ""ОКП ТАГЭЛЕКТРОТЕХ""",ПРОЧАЯ ДЕЯТЕЛЬНОСТЬ,Прочие услуги,Преобразование и хранение энергии,"Технологии передачи, распределения и преобразования электроэнергии",Технологии релейной защиты и автоматики при передаче и распределении электроэнергии,okp-tagelektroteh.ru,"разработка электротехнических решений в области электроэнергетики, направленных на повышение надежности электроснабжения потребителей электрической энергии и снижение времени ремонтных и восстановительных работ в распределительных сетях высокого напряжения. Комплексные научно-технические решения по разработке устройств определения мест повреждения изоляции кабельных линий, высоковольтных испытаний компонентов электрической сети высокого напряжения."
2111,1037580,"ООО ""ОКП ТАГЭЛЕКТРОТЕХ""",ПРОЧАЯ ДЕЯТЕЛЬНОСТЬ,Прочие услуги,Обработка и преобразование информации,Интеллектуальные системы управления,Системы управления жизненным циклом сложных инженерных объектов (PLM),Не указано,"разработка электротехнических решений в области электроэнергетики, направленных на повышение надежности электроснабжения потребителей электрической энергии и снижение времени ремонтных и восстановительных работ в распределительных сетях высокого напряжения. Комплексные научно-технические решения по разработке устройств определения мест повреждения изоляции кабельных линий, высоковольтных испытаний компонентов электрической сети высокого напряжения."
3373,1058510,"ООО ""ОМЕГА""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Деятельность по созданию новых информационных технологий,Синтез информации,"Технологии синтеза графической информации, включая технологии VR/AR/MR и технологии взаимодействия с виртуальными объектами",Разработки по созданию реалистичного виртуального пространства (Контент),omegafuture.ru,"ООО «Омега» - российский разработчик ИТ-решений с 2001 года. Сегодня компания занимает лидирующие позиции на российском рынке информационных технологий в области разработки, внедрения систем автоматизации, анализа и управления электронными информационными ресурсами. 
На 2021 год в компании работает более 30 сотрудников-обладателей сертификатов та-ких фирм и компаний, как «1С», «Microsoft» и многих других крупных российских и зарубежных вендоров. Силами специалистов ООО «Омега» было успешно завер"
3499,1060442,"ООО ""ОМЕГА""",ПРОМЫШЛЕННОСТЬ,Машиностроение,Синтез материальных объектов,Инженерные комплексы,Компоненты робототехники и мехатроники, omega18.pro,"Компания  «Омега»  -  российский  производитель  инновационного  продукта: манифольдов для гидравлического разрыва пласта. В производство вложены современные технологии,  опыт  профессионалов  и  знания  тенденций  развития  рынка.  Компания «Омега» проводит много исследований и тестов, чтобы продукция была над?жная и конкурентноспособная. Манифольд для гидравлического разрыва пласта это совокупность оборудования, производимого как единый объект, состоящий из составных частей, так и поставляемый"
1467,1026406,"ООО ""ОМЕГА""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Деятельность по созданию новых информационных технологий,Синтез информации,"Технологии синтеза графической информации, включая технологии VR/AR/MR и технологии взаимодействия с виртуальными объектами",Разработки по созданию реалистичного виртуального пространства (Контент),gkomega.ru,"ООО «Омега» - российский разработчик ИТ-решений с 2001 года. Сегодня компания занимает лидирующие позиции на российском рынке информационных технологий в области разработки, внедрения систем автоматизации, анализа и управления электронными информационными ресурсами. 
На 2021 год в компании работает более 30 сотрудников-обладателей сертификатов та-ких фирм и компаний, как «1С», «Microsoft» и многих других крупных российских и зарубежных вендоров. Силами специалистов ООО «Омега» было успешно завер"
1959,1035000,"ООО ""ОНЛАЙН ПАТЕНТ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Синтез информации,Искусственный интеллект,Экспертные системы на базе искусственного интеллекта,https://onlinepatent.ru,"IT-компания в сфере LegalTech, осуществляющая разработку и коммерциализацию одноименной цифровой системы «Онлайн Патент» для защиты интеллектуальной собственности и управления интеллектуальными правами."
3489,1060301,"ООО ""ОНЛАЙН ПАТЕНТ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Синтез информации,Искусственный интеллект,Экспертные системы на базе искусственного интеллекта,https://onlinepatent.ru,"IT-компания в сфере LegalTech, осуществляющая разработку и коммерциализацию одноименной цифровой системы «Онлайн Патент» для защиты интеллектуальной собственности и управления интеллектуальными правами."
70,810855,"ООО ""ОНЛАЙН ПАТЕНТ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Синтез информации,Искусственный интеллект,Экспертные системы на базе искусственного интеллекта,https://onlinepatent.ru/,"Онлайн Патент - технологический лидер российского рынка защиты и управления интеллектуальной собственностью. Многопользовательская система ""Онлайн Патент"" обеспечивает полный аутсорсинг всех задач, связанных с охраной и защитой прав на товарные знаки, патенты и программное обеспечение. Сервисы предоставляются на основе прямой синхронизации с патентными ведомствами, при квалифицированной поддержке аккредитованных патентных поверенных. На текущий момент, система ""Онлайн Патент"" объединяет более че"
920,835088,"ООО ""ОНТОНЕТ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Синтез информации,Моделирование процессов реального мира (цифровые двойники),"Цифровое проектирование, математическое моделирование и управление жизненным циклом изделия или продукции (Smart Design)",-,"ООО Онтонет разработчик платформы Онто (сервиса совместного моделирования цифровых пространств для корпораций, среднего бизнеса и команд)"
2176,1038728,"ООО ""ОНТОНЕТ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Деятельность по созданию новых информационных технологий,Обработка и преобразование информации,Интеллектуальные системы управления,Технологии управление информационными процессами жизненного цикла изделия (PDM),http://ontonet.ru/,ООО Онтонет компания-стартап разработчик платформы Онто
1662,1029648,"ООО ""ОПТИМЕНГА-777""",ПРОМЫШЛЕННОСТЬ,Авиакосмическая промышленность,Обработка и преобразование информации,Интеллектуальные системы управления,Системы управления жизненным циклом сложных инженерных объектов (PLM),www.optimenga777.com,"Компания ООО «ОПТИМЕНГА-777» поставляет на рынок уникальные программные продукты в области дизайна и оптимизации для широкого круга научных и индустриальных приложений, а также предлагает консультационные услуги в указанных областях."
1186,1023249,"ООО ""ОПТИМЕНГА-777""",ПРОМЫШЛЕННОСТЬ,Авиакосмическая промышленность,Обработка и преобразование информации,Интеллектуальные системы управления,Системы управления жизненным циклом сложных инженерных объектов (PLM),www.optimenga777.com,"Компания ООО «ОПТИМЕНГА-777» поставляет на рынок уникальные программные продукты в области дизайна и оптимизации для широкого круга научных и индустриальных приложений, а также предлагает консультационные услуги в указанных областях."
1363,1025218,"ООО ""ОТК""",ПРОМЫШЛЕННОСТЬ,Производство электронного и электрического оборудования,Синтез материальных объектов,Инженерные комплексы,Системы промышленной безопасности,www.otc-obninsk.ru,"Производство промышленных датчиков температуры в диапазоне от минус 40 до 2500 гр.С. Услуги в области термометрии, метрологии и обследовании промышленных печей."
1999,1035690,"ООО ""ОТК""",ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,Геологоразведочные работы,Синтез материальных объектов,Новые производственные процессы,Процессы и технологии добычи полезных ископаемых,Не указано,Компания занимается разработкой комплекса гидродинамического каротажа нефтяных и газовых скважин и сопутствующего оборудования. Планируется продажа созданного оборудования и оказание услуг с его помощью на рынке геофизического сервиса.
3314,1057399,"ООО ""ОТКРЫТАЯ РОБОТОТЕХНИКА""",ИССЛЕДОВАНИЯ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ПРОЕКТИРОВАНИЕ,"Заказные исследования и разработки, государственное управление исследованиями",Синтез материальных объектов,Инженерные комплексы,Робототехнические решения,http://www.openrobotics.ru,"Основной целью деятельности ООО «Открытая Робототехника» является разработка, апробация и внедрение в образовательный процесс перспективных (прогрессивных) обучающих технологий, продуктов, услуг, ресурсов, методов и методик подготовки кадров, популяризация инженерных специальностей, связанных с робототехникой и выявление одаренной и способной молодежи.
Главными задачами нашей деятельности являются:
 - Сопровождение учащихся в процессе образовательной и соревновательной деятельности, содействие р"
3315,1057415,"ООО ""ОТКРЫТАЯ РОБОТОТЕХНИКА""",ИССЛЕДОВАНИЯ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ПРОЕКТИРОВАНИЕ,"Заказные исследования и разработки, государственное управление исследованиями",Синтез материальных объектов,Инженерные комплексы,Робототехнические решения,http://www.openrobotics.ru,"Основной целью деятельности ООО «Открытая Робототехника» является разработка, апробация и внедрение в образовательный процесс перспективных (прогрессивных) обучающих технологий, продуктов, услуг, ресурсов, методов и методик подготовки кадров, популяризация инженерных специальностей, связанных с робототехникой и выявление одаренной и способной молодежи.
Главными задачами нашей деятельности являются:
 - Сопровождение учащихся в процессе образовательной и соревновательной деятельности, содействие р"
1354,1025080,"ООО ""ОТКРЫТАЯ РОБОТОТЕХНИКА""",ИССЛЕДОВАНИЯ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ПРОЕКТИРОВАНИЕ,"Заказные исследования и разработки, государственное управление исследованиями",Синтез материальных объектов,Инженерные комплексы,Робототехнические решения,http://www.openrobotics.ru,"Основной целью деятельности ООО «Открытая Робототехника» является разработка, апробация и внедрение в образовательный процесс перспективных (прогрессивных) обучающих технологий, продуктов, услуг, ресурсов, методов и методик подготовки кадров, популяризация инженерных специальностей, связанных с робототехникой и выявление одаренной и способной молодежи.
Главными задачами нашей деятельности являются:
 - Сопровождение учащихся в процессе образовательной и соревновательной деятельности, содействие р"
1845,1032833,"ООО ""ОХОТСКАЯ МИДИЯ""",СЕЛЬСКОЕ ХОЗЯЙСТВО (ВКЛЮЧАЯ РЫБОЛОВСТВО),Рыболовство и рыбоводство,Сбор информации об объекте,Исследования на живых моделях,Исследования на модельных животных,Не указано,"Общество с ограниченной ответственностью «Охотская мидия» занимается культивированием (выращиванием) двустворчатых моллюсков. Применяя опытный образец плавучей установки, уникальные гидрологические условия Охотского моря и амплитуду приливо-отливных течений, достигающая 5 м, удается получить моллюсков товарного размера в кротчайшие сроки. Предприятием на опытном образеце плавучей установки производиться три вида моллюсков – тихоокеанская мидия, мия дальневосточная, макома (вонголе)."
1190,1023287,"ООО ""ОХОТСКАЯ МИДИЯ""",СЕЛЬСКОЕ ХОЗЯЙСТВО (ВКЛЮЧАЯ РЫБОЛОВСТВО),Рыболовство и рыбоводство,Сбор информации об объекте,Исследования на живых моделях,Исследования на модельных животных,Не указано,"Общество с ограниченной ответственностью «Охотская мидия» занимается культивированием (выращиванием) двустворчатых моллюсков. Применяя опытный образец плавучей установки, уникальные гидрологические условия Охотского моря и амплитуду приливо-отливных течений, достигающая 5 м, удается получить моллюсков товарного размера в кротчайшие сроки. Предприятием на опытном образеце плавучей установки производиться три вида моллюсков – тихоокеанская мидия, мия дальневосточная, макома (вонголе)."
3086,1053866,"ООО ""ПЕРОРЕНТГЕН""",ПРОМЫШЛЕННОСТЬ,Производство новых материалов,Синтез материальных объектов,Материалы с новыми свойствами,Создание новых веществ,Не указано,"ООО ""ПероРентген"" - компания, специализирующаяся на разработке и выводе на рынок рентгеновского сцинтиллятора на основе перовскитов, пригодного для использования с существующими на рынке детекторами и разработке и вывод на рынок нового гибкого детектора рентгеновского излучения на основе OTFT-матриц."
1065,1011542,"ООО ""ПЕРОРЕНТГЕН""",ПРОМЫШЛЕННОСТЬ,Производство электронного и электрического оборудования,Сбор информации об объекте,Физико-химические методы,Методы регистрации ионизирующих и высокоэнергетических излучений,-,Разработка лабораторной технологии производства рентгеновского сцинтиллятора из перовскита
2358,1041776,"ООО ""ПЕРСПЕКТИВНАЯ МЕХАНИЗАЦИЯ""",СЕЛЬСКОЕ ХОЗЯЙСТВО (ВКЛЮЧАЯ РЫБОЛОВСТВО),Растениеводство,Синтез материальных объектов,Инженерные комплексы,Сельскохозяйственный инжиниринг,perspmeh.ru,"Предприятие создано в мае 2016 года. Основной вид деятельности ООО «Перспективная механизация» - научные исследования и разработки в области естественных наук. Предприятие оказывает услуги по разработке конструкторской документации для промышленных предприятий, осуществляет операции купли-продажи оборудования и комплектующих.
ООО «Перспективная механизация» успешно выполнило проект «Разработка инновационной универсальной энергосберегающей сушилки для продукции сельского хозяйства и пиломатериало"
2639,1046509,"ООО ""ПЕРСПЕКТИВНАЯ МЕХАНИЗАЦИЯ""",СЕЛЬСКОЕ ХОЗЯЙСТВО (ВКЛЮЧАЯ РЫБОЛОВСТВО),Растениеводство,Синтез материальных объектов,Инженерные комплексы,Сельскохозяйственный инжиниринг,perspmeh.ulcraft.com,"Предприятие создано в мае 2016 года. Основной вид деятельности ООО «Перспективная механизация» - научные исследования и разработки в области естественных наук. Предприятие оказывает услуги по разработке конструкторской документации для промышленных предприятий, осуществляет операции купли-продажи оборудования и комплектующих.
ООО «Перспективная механизация» успешно выполнило проект «Разработка инновационной универсальной энергосберегающей сушилки для продукции сельского хозяйства и пиломатериало"
3220,1056000,"ООО ""ПЕТР ТЕЛЕГИН""",ЗДРАВООХРАНЕНИЕ,Производство медицинских изделий для диагностики in vitro,Обработка и преобразование информации,Интеллектуальные системы управления,Медицинские и лабораторные информационные системы,www.bplab.ru,"ООО “Петр Телегин” - производитель амбулаторных суточных мониторов артериального давления BPLab – основано в 1994 году. С самого начала своей деятельности компания занималась поставкой и сервисом отечественного оборудования для функциональной диагностики. С 1997 года до настоящего времени предприятие ведёт собственную разработку медицинского диагностического оборудования, а с 2000 года - серийное производство. В данный момент компания серийно производит: систему суточного мониторирования BPLab, "
1640,1029279,"ООО ""ПЕТР ТЕЛЕГИН""",ЗДРАВООХРАНЕНИЕ,Производство медицинских изделий для диагностики in vitro,Обработка и преобразование информации,Интеллектуальные системы управления,Медицинские и лабораторные информационные системы,www.bplab.ru,"ООО “Петр Телегин” - производитель амбулаторных суточных мониторов артериального давления BPLab – основано в 1994 году. С самого начала своей деятельности компания занималась поставкой и сервисом отечественного оборудования для функциональной диагностики. С 1997 года до настоящего времени предприятие ведёт собственную разработку медицинского диагностического оборудования, а с 2000 года - серийное производство. В данный момент компания серийно производит: систему суточного мониторирования BPLab, "
1313,1024640,"ООО ""ПЕТР ТЕЛЕГИН""",ЗДРАВООХРАНЕНИЕ,Производство медицинских изделий для диагностики in vitro,Обработка и преобразование информации,Интеллектуальные системы управления,Медицинские и лабораторные информационные системы,http://www.bplab.ru/,"ООО “Петр Телегин” - производитель амбулаторных суточных мониторов артериального давления BPLab – основано в 1994 году. С самого начала своей деятельности компания занималась поставкой и сервисом отечественного оборудования для функциональной диагностики. С 1997 года до настоящего времени предприятие ведёт собственную разработку медицинского диагностического оборудования, а с 2000 года - серийное производство. В данный момент компания серийно производит: систему суточного мониторирования BPLab, "
724,811562,"ООО ""ПИН-ПРОГРАММНАЯ ИНТЕГРАЦИЯ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Синтез информации,Средства разработки,Инструменты для взаимодействия программ (API),https://pin-progin.ru,"ООО ""ПИН-Программная ИНтеграция"" - динамично развивающаяся компания-разработчик программно-аппаратных решений в промышленности в части задач технического и технологического контроля качества продукции и оптимизации процессов на основе современных технологий машинного зрения (MV), 2D-3D сканирования, баз данных и анализа больших данных (BIgDATA), искусственного интеллекта (AI), а также, технологий INDUSTRY 4.0. Специалисты компании имеют на вооружении самые современные технологии на стыке промышл"
2427,1042904,"ООО ""ПИН-ПРОГРАММНАЯ ИНТЕГРАЦИЯ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Обработка и преобразование информации,Интеллектуальные системы управления,Системы управления производственными процессами (MES),pin-progin.ru,"Компания - разработчик промышленных программно-аппаратных решений на базе машинного зрения и искусственного интеллекта. Специализация: технический и технологический контроль качества продукции, оптимизация производственных процессов."
2278,1040471,"ООО ""ПЛ ТМ""",ИССЛЕДОВАНИЯ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ПРОЕКТИРОВАНИЕ,"Заказные исследования и разработки, государственное управление исследованиями",Синтез материальных объектов,Инженерные комплексы,Турбомашины и комбинированные турбоустановки,http://pltm.org/,"ООО «Проблемная лаборатория «Турбомашины» (ООО «ПЛТМ») основана в 2010 году, является инжиниринговым малым инновационным предприятием, резидент Сколково.

На протяжении последних лет ООО «Проблемная лаборатория «Турбомашины» достигла успехов в реализации целого ряда НИР и НИОКР. Это позволило заявить системообразующий проект по разработке платформенного решения в области распределенной силовой установки, интегрированной с планером летательного аппарата.

Основные фокусные тематики коллектива: си"
38,810823,"ООО ""ПЛ ТМ""",ПРОМЫШЛЕННОСТЬ,Авиакосмическая промышленность,Синтез материальных объектов,Инженерные комплексы,Оборудование для электрохимической и электрофизической обработки материалов,http://pltm.org/,"На протяжении последних лет ООО «Проблемная лаборатория Турбомашины» достигла успехов в реализации целого ряда НИР и НИОКР. Это позволило заявить системообразующий проект по разработке платформенного решения в области распределенной силовой установки, интегрированной с планером летательного аппарата.Основные фокусные тематики коллектива: системное программное обеспечение и АСУТП, обработка цифровых сигналов, инструментальное программное обеспечение, системы моделирования (с непрерывными и дискре"
2833,1049658,"ООО ""ПЛАНИМА ТРАССЕРС""",ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,Добыча нефти и природного газа,Синтез материальных объектов,Новые производственные процессы,Процессы и технологии добычи полезных ископаемых,Не указано,"Компания ООО Планима Трассерс специализируется на оказании услуг по мониторингу нефтегазодобывающих скважин, в том числе по определению дебитов нефти, воды и газа и отслеживанию интервалов прорыва воды или газа, посредством разработки и изготовления индикаторных хромато-десорбционных систем, установки данных систем в специализированные фильтры-кожухи, проведения спуско- контрольных работ, отбора проб скважинной продукции, лабораторного инструментального анализа отобранных проб и предоставления и"
1688,1030099,"ООО ""ПЛАНИМА ТРАССЕРС""",ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,Добыча нефти и природного газа,Синтез материальных объектов,Новые производственные процессы,Процессы и технологии добычи полезных ископаемых,Не указано,"Компания ООО Планима Трассерс специализируется на оказании услуг по мониторингу нефтегазодобывающих скважин, в том числе по определению дебитов нефти, воды и газа и отслеживанию интервалов прорыва воды или газа, посредством разработки и изготовления индикаторных хромато-десорбционных систем, установки данных систем в специализированные фильтры-кожухи, проведения спуско- контрольных работ, отбора проб скважинной продукции, лабораторного инструментального анализа отобранных проб и предоставления и"
569,811395,"ООО ""ПЛАНТА""",СЕЛЬСКОЕ ХОЗЯЙСТВО (ВКЛЮЧАЯ РЫБОЛОВСТВО),Растениеводство,Синтез материальных объектов,Синтез живых организмов и систем,Генная инженерия,https://planta.bio,"""Планта"" исследует метаболические пути в живых организмах, способных к свечению в темноте, и разрабатывает на их основе новые технологии. Основным проектом компании является создание светящихся в темноте декоративных растений на основе открытой нами биолюминесцентной системы грибов. Помимо этого, ""Планта"" создает биолюминесцентные системы для исследовательской деятельности, с фокусом на системы скрининга фармакологических и агрокомпаний, и новые методики создания трансгенных растений."
1315,1024659,"ООО ""ПЛАНТА""",ИССЛЕДОВАНИЯ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ПРОЕКТИРОВАНИЕ,"Заказные исследования и разработки, государственное управление исследованиями",Синтез материальных объектов,Синтез живых организмов и систем,Биотехнология клеточных культур,planta.bio,"Планта — российская компания, работающая в области синтетической биологии. В нашей команде специалисты разных профилей, начиная от биотехнологов, химиков-органиков, молекулярных биологов до специалистов по трансгенезу растений и метаболической инженерии. Сфера деятельности – создание сельхоз культур и декоративных растений. Мы работаем как со стартапами, так и сельскохозяйственными компаниями над сложными и перспективными проектами в современной биологии растений. С 2017 года Планта создала боле"
1549,1027745,"ООО ""ПЛАНТА""",ИССЛЕДОВАНИЯ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ПРОЕКТИРОВАНИЕ,"Заказные исследования и разработки, государственное управление исследованиями",Синтез материальных объектов,Технологии воздействия на живые организмы,Биохимическое воздействие,planta.bio,"Планта — российская компания, работающая в области синтетической биологии. В нашей команде специалисты разных профилей, начиная от биотехнологов, химиков-органиков, молекулярных биологов до специалистов по трансгенезу растений и метаболической инженерии. Сфера деятельности – создание сельхоз культур и декоративных растений. Мы работаем как со стартапами, так и сельскохозяйственными компаниями над сложными и перспективными проектами в современной биологии растений. С 2017 года Планта создала боле"
1202,1023410,"ООО ""ПМЗ""",ПРОМЫШЛЕННОСТЬ,Машиностроение,Синтез материальных объектов,Новые производственные процессы,Технологии нефтепереработки и нефтехимии,www.emech.ru,"ООО ""ПМЗ"" является одной из ведущих компаний России, предоставляющей технологические решения для перерабатывающих, добывающих и энергетических отраслей промышленности.
Системные решения компании включают в себя проектирование, производство, комплектацию и поставку блочного технологического оборудования нефте, газопереработки и химической промышленности. ООО ""ПМЗ""  является разработчиком и производителем сталеразливочного, прокатного и грузоподъемного оборудования металлургии, в том числе сталько"
1537,1027526,"ООО ""ПМЗ""",ПРОМЫШЛЕННОСТЬ,Машиностроение,Синтез материальных объектов,Новые производственные процессы,Технологии нефтепереработки и нефтехимии,www.emech.ru,"ООО ""ПМЗ"" является одной из ведущих компаний России, предоставляющей технологические решения для перерабатывающих, добывающих и энергетических отраслей промышленности.
Системные решения компании включают в себя проектирование, производство, комплектацию и поставку блочного технологического оборудования нефте, газопереработки и химической промышленности. ООО ""ПМЗ""  является разработчиком и производителем сталеразливочного, прокатного и грузоподъемного оборудования металлургии, в том числе сталько"
2854,1050023,"ООО ""ПРЕПРЕП.РУ""",ПРОЧАЯ ДЕЯТЕЛЬНОСТЬ,Прочие услуги,Обработка и преобразование информации,Обработка и хранение больших данных,Предсказательная аналитика,https://tetrika-school.ru/,"ООО “ПРЕПРЕП.РУ” создано в 2018 году, его основным видом деятельности является (ОКВЭД 62) Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги.

Ключевым продуктом ООО “ПРЕПРЕП.РУ” является LMS Тетрика - интерактивная образовательная платформа для прохождения онлайн-курсов и дистанционных занятий с репетиторами по школьным предметам, а также иностранным языкам и подготовке к государственной итоговой аттестации (ОГЭ, ЕГЭ).
 
Тет"
502,811321,"ООО ""ПРЕПРЕП.РУ""",ОБРАЗОВАНИЕ,Высшее и послевузовское образование,Синтез информации,Средства разработки,Инструменты для взаимодействия программ (API),https://tetrika-school.ru/,"Компания ООО ""ПРЕПРЕП.РУ"" занимается дополнительным школьным образованием. А конкретнее – предоставляет школьникам онлайн-занятия с репетиторами 1 на 1.Для онлайн-занятий компания разработала собственную платформу (LMS) с использованием технологий WebRTC, webSocket для достижения высокой интерактивности занятий. На платформе реализованы основные инструменты, необходимые для проведения занятий 1 на 1, минигрупп, а также для сопровождения обучения. В компании работает 107 человек. Компания официал"
